,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
75,"Machu Picchu",Camilo,1211972,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
76,Goosebumps,HVME,1209026,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
77,Circles,"Post Malone",1189531,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
78,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1177981,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
79,LOST,NF,1174473,https://open.spotify.com/track/2MZrOmrVxRmmOoFW6dhenG
80,"Patience (feat. YUNGBLUD & Polo G)",KSI,1173056,https://open.spotify.com/track/5J5CpT6bgE6KYKk23jgp9W
81,"At My Worst","Pink Sweat$",1133660,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
82,"lovely (with Khalid)","Billie Eilish",1131459,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
83,"TE MUDASTE","Bad Bunny",1127942,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
84,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1127787,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
85,"Tapão Na Raba","Raí Saia Rodada",1114459,https://open.spotify.com/track/58pgi1RpcU2fVJsxhm7BIr
86,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",1112277,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
87,"death bed (coffee for your head)",Powfu,1111074,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
88,"Holy (feat. Chance The Rapper)","Justin Bieber",1099482,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
89,"Lucid Dreams","Juice WRLD",1097777,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
90,goosebumps,"Travis Scott",1085896,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
91,LOCATION,"KAROL G",1078950,https://open.spotify.com/track/5Km4r87BoX2qqtoprYS1gh
92,Shallow,"Lady Gaga",1078563,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
93,Golden,"Harry Styles",1071595,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
94,"Laugh Now Cry Later (feat. Lil Durk)",Drake,1063068,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
95,"Adore You","Harry Styles",1059973,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
96,"Savage Love (Laxed - Siren Beat)","Jawsh 685",1059274,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
97,Believer,"Imagine Dragons",1054619,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
98,"Back In Blood (feat. Lil Durk)","Pooh Shiesty",1038241,https://open.spotify.com/track/7FGdjbZ32vMybPuP0IuE7d
99,"Breaking Me",Topic,1037975,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
100,Memories,"Maroon 5",1036362,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
101,"The Box","Roddy Ricch",1030141,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
102,"Relación - Remix",Sech,1026284,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
103,Señorita,"Shawn Mendes",1017014,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
104,"Lonely (with benny blanco)","Justin Bieber",1016485,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
105,"Chica Ideal","Sebastian Yatra",1013237,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
106,"bad guy","Billie Eilish",1012875,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
107,Afterglow,"Ed Sheeran",1011997,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
108,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1010012,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
109,"Hasta Abajo","Kevin Roldan",1004759,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
110,"The Hills","The Weeknd",1002875,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
111,"Mi Niña",Wisin,1002619,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
112,"Blueberry Faygo","Lil Mosey",976992,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
113,BEBÉ,Camilo,973449,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
114,"Cupid's Chokehold / Breakfast in America","Gym Class Heroes",967886,https://open.spotify.com/track/2Lhdl74nwwVGOE2Gv35QuK
115,willow,"Taylor Swift",966036,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
116,"Say You Won't Let Go","James Arthur",962099,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
117,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",960998,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
118,"Life Is Good (feat. Drake)",Future,960286,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
119,"Wishing Well","Juice WRLD",959122,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
120,"Ropa Cara",Camilo,957828,https://open.spotify.com/track/2zY1iTaEgs8ROkkWtWLe7l
121,"Take Me To Church",Hozier,948845,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
122,"Shape of You","Ed Sheeran",945579,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
